player_id,years_since_pro,turned_pro,height_cm,weight_kg,birth_year,age,handedness,backhand
g077,74,1946,188,82,1928,92,,
d133,60,1960,183,72,1936,84,,
g075,60,1960,185,89,1937,83,,
r071,56,1964,175,77,1946,74,R,One
g076,55,1965,188,82,1942,78,,
s129,54,1966,191,93,1938,82,,
n044,53,1967,183,82,1944,76,,
f024,52,1968,180,73,1946,74,,
m144,52,1968,175,71,1940,80,,
o032,52,1968,178,,1944,76,R,One
p072,52,1968,,,1944,76,,
r522,52,1968,,,,2020,,
s210,52,1968,185,77,1937,83,,
t376,52,1968,,,1930,90,,
w347,52,1968,,,,2020,,
a063,51,1969,185,73,1943,77,R,One
f074,51,1969,,,1947,73,R,One
n008,51,1969,183,75,1946,74,,
o200,51,1969,,,,2020,,
c044,48,1972,178,70,1952,68,L,Two
h543,48,1972,,,,2020,,
z131,48,1972,,,,2020,,
b058,47,1973,180,73,1956,64,R,Two
c695,47,1973,,,,2020,,
h019,47,1973,178,75,1953,67,,
k053,47,1973,175,77,1951,69,,
m146,47,1973,183,77,1950,70,,
t051,47,1973,191,82,1951,69,,
b836,46,1974,,,1949,71,,
c075,46,1974,183,75,1952,68,,
c936,46,1974,185,80,1954,66,,
e214,46,1974,,,,2020,,
a058,45,1975,173,73,1950,70,,
j282,45,1975,,,,2020,,
m138,45,1975,178,86,1956,64,,
h544,44,1976,,,,2020,,
r070,44,1976,185,81,1953,67,,
e032,43,1977,178,75,1954,66,,
h010,43,1977,193,91,1955,65,,
m014,43,1977,173,75,1956,64,,
t012,43,1977,178,68,1959,61,,
t037,43,1977,173,68,1956,64,,
b189,42,1978,175,75,1956,64,,
d102,42,1978,185,84,1956,64,,
k022,42,1978,175,76,1958,62,,
k024,42,1978,170,64,1961,59,,
l018,42,1978,188,79,1960,60,R,One
m047,42,1978,180,75,1959,61,,
w027,42,1978,185,75,1959,61,,
c057,41,1979,185,77,1958,62,,
g023,41,1979,193,84,1960,60,,
j016,41,1979,178,75,1960,60,,
m092,41,1979,180,79,1960,60,,
a031,40,1980,175,70,1964,56,,
a035,40,1980,180,73,1961,59,,
c002,40,1980,185,77,1958,62,,
d005,40,1980,183,82,1958,62,,
d045,40,1980,193,84,1958,62,,
f014,40,1980,,,1965,55,,
f028,40,1980,183,77,1960,60,,
j006,40,1980,180,70,1961,59,,
k017,40,1980,178,82,1959,61,,
l005,40,1980,188,86,1959,61,,
l014,40,1980,185,79,1963,57,,
m056,40,1980,193,82,1958,62,,
r017,40,1980,185,78,1958,62,,
v008,40,1980,193,82,1959,61,,
v034,40,1980,191,75,1961,59,,
b074,39,1981,180,68,1965,55,,
b077,39,1981,191,86,1958,62,,
c024,39,1981,185,77,1962,58,,
h029,39,1981,191,77,1963,57,,
p021,39,1981,178,75,1962,58,,
s045,39,1981,183,77,1959,61,,
w023,39,1981,183,77,1964,56,,
a034,38,1982,175,64,1964,56,,
b021,38,1982,180,73,1962,58,,
b023,38,1982,188,84,1959,61,,
c023,38,1982,183,84,1965,55,,
d028,38,1982,191,78,1959,61,,
d049,38,1982,183,76,1960,60,,
f035,38,1982,191,80,1965,55,,
g016,38,1982,185,79,1961,59,,
i003,38,1982,178,69,1962,58,,
k015,38,1982,183,77,1959,61,,
m030,38,1982,180,76,1963,57,,
p032,38,1982,196,82,1963,57,,
r006,38,1982,183,68,1965,55,,
r036,38,1982,191,82,1965,55,,
s021,38,1982,201,83,1959,61,,
v032,38,1982,180,79,1961,59,,
w007,38,1982,183,79,1962,58,,
y002,38,1982,185,77,1965,55,,
y003,38,1982,191,80,1964,56,,
a006,37,1983,180,82,1964,56,,
a018,37,1983,191,77,1967,53,,
